,date,incidence
713,2023-09-04,0.0
714,2023-09-11,
715,2023-09-18,0.0
716,2023-09-25,0.0
717,2023-10-02,
718,2023-10-09,0.0
719,2023-10-16,0.0
720,2023-10-23,
721,2023-10-30,
722,2023-11-06,15.0
723,2023-11-13,16.0
724,2023-11-20,77.0
725,2023-11-27,152.0
726,2023-12-04,352.0
727,2023-12-11,205.0
728,2023-12-18,446.0
729,2023-12-25,1038.0
730,2024-01-01,
731,2024-01-08,2000.0
732,2024-01-15,1207.0
733,2024-01-22,862.0
734,2024-01-29,622.0
735,2024-02-05,533.0
736,2024-02-12,397.0
737,2024-02-19,281.0
738,2024-02-26,164.0
739,2024-03-04,71.0
740,2024-03-11,92.0
741,2024-03-18,40.0
742,2024-03-25,72.0
